epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,405.807,1.62957,1.85223,0.00639,0.63615,0.52464,0.58048,0.37396,1.23373,1.30141,0.0066,0.00196364,0.000654545,0.00196364,0.000654545,0.00196364,0.000654545,0.00196364,0.000654545
2,461.362,1.54166,1.67196,0.0059,0.64791,0.49807,0.58748,0.3807,1.23968,1.25853,0.00659,0.0039244,0.00130813,0.0039244,0.00130813,0.0039244,0.00130813,0.0039244,0.00130813
3,512.364,1.59337,1.67714,0.00608,0.65884,0.50569,0.58748,0.38668,1.2465,1.2625,0.00668,0.00584556,0.00194852,0.00584556,0.00194852,0.00584556,0.00194852,0.00584556,0.00194852
4,565.192,1.53744,1.58101,0.00581,0.66824,0.53374,0.61743,0.39925,1.24042,1.18141,0.00659,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,617.475,1.50086,1.50205,0.00572,0.70648,0.51327,0.6183,0.41426,1.23101,1.18674,0.00656,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,668.847,1.5138,1.44462,0.00561,0.68098,0.55185,0.63262,0.41438,1.24756,1.111,0.00677,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,722.797,1.49646,1.41919,0.0057,0.69826,0.55572,0.64283,0.42611,1.21518,1.10975,0.0065,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,773.571,1.49288,1.37198,0.00561,0.68975,0.56558,0.65281,0.43489,1.22667,1.09342,0.00658,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,826.009,1.45107,1.30491,0.00542,0.69699,0.58984,0.66184,0.44163,1.21325,1.07182,0.00648,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,876.843,1.4581,1.29322,0.0054,0.7354,0.5815,0.67781,0.45035,1.20102,1.03489,0.00634,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
